request_id,company_id,company_as_written,target_title,requested_by,request_date,raw_ask,value_usd,urgency_declared,status_as_filed,routed_to,routed_on,route_score,route_reason,asked_date,responded,intro_sent,meeting_booked,opportunity_usd,offer_in_thread,thread_replies,thread_all_noise,resolved_by,needs_review,contradicts_log,blocked_reason,nudged_on
R1083,C039,thistledownenergy.com,VP Engineering,Nadia Okonkwo,2026-06-04,"looking for a path to Perrine Hartigan-Thackeray — email domain is thistledownenergy.com, that's all I have",750000,Critical,Open,,,,not asked; no path to this company in the network,,,,,,N,0,no replies,raw_ask:domain,no,,no path on the roster,
R1084,C019,Hollowbrook Grocers,VP Engineering,Bertrand Vandermolen,2026-07-13,"need help getting to Hollowbrook Grocers. Dev Prendergast-Jarrold is the VP Engineering there, cold outbound is going nowhere",2000000,Critical,Open,Priya Raghunathan,,0.205,"recommended, not yet asked; board path via CEO / exec team",,,,,,N,3,yes,crm-name,no,,,
R1085,,,Director of Software Engineering,Yusuf Petrossian,2026-04-27,Matteo Petrossian-Lomsadze is the person I need. Pretty sure they're a Director of Software Engineering somewhere in Financial Services.,80000,Medium,Open,Tomás Beckett,2026-04-30,,asked; no known path from this connector to the company,2026-04-30,N,N,N,,N,1,yes,unresolved,company not identifiable; asked with no known path,,,
R1086,C020,Ironvale Steel,VP Enterprise Architecture,Sloane Fairweather,2026-02-17,who do we know at Ironvale Steel? VP Enterprise Architecture would be ideal but I'll take anyone senior,150000,Critical,Open,Priya Raghunathan,2026-02-20,0.123,"asked; direct path via Tanvi Eastcott (Chief Data Officer); stronger path existed via Marcus Aldridge (direct, 0.21)",2026-02-20,N,N,N,,N,3,yes,crm-name,no,,,
R1087,,Silverbrook,VP Data & Analytics,Curtis Hartigan,2026-02-10,who knows someone at Silverbrook?,400000,Critical,Routed,,,,not asked; company unresolved,,,,,,N,3,yes,fund-collision,bare name is a fund and a customer,,fund or operating company — ask the requester,
R1088,,Thornbury,Chief Technology Officer,Curtis Hartigan,2026-04-09,need an intro at Thornbury — anyone?,400000,Critical,Closed - no path,,,,not asked; company unresolved,,,,,,N,2,no,fund-collision,bare name is a fund and a customer,,fund or operating company — ask the requester,
R1089,C020,Ironvale Steel,VP Enterprise Architecture,Hana Nakashima,2026-02-18,who do we know at Ironvale Steel? VP Enterprise Architecture would be ideal but I'll take anyone senior,400000,High,Closed - no path,Marcus Aldridge,,0.208,"recommended, not yet asked; direct path via Tanvi Eastcott (Chief Data Officer)",,,,,,N,1,yes,crm-name,no,,,
R1090,C018,Harrowgate Health,VP Engineering,Hana Nakashima,2025-12-17,any connections into Harrowgate Health? we're up against a renewal window and I need an intro to VP Engineering,400000,Medium,Closed - no path,Tomás Beckett,2025-12-20,0.079,asked; direct path via Marcus Salcedo (Director of Software Engineering),2025-12-20,N,N,N,,N,2,yes,crm-name,no,,,
R1091,C006,Blackwood Industrial,Chief Digital Officer,Yusuf Petrossian,2026-04-14,who do we know at Blackwood Industrial? Chief Digital Officer would be ideal but I'll take anyone senior,150000,High,Stalled,Elena Duvall,2026-04-17,0.187,asked; direct path via Bram Quillane (Head of Developer Productivity),2026-04-17,Y,Y,N,,N,3,yes,domain-stem,no,"intro logged, filed as stalled",,
R1092,C031,Priorwood Chemicals,VP Enterprise Architecture,Sloane Fairweather,2026-03-28,who do we know at Priorwood Chemicals? VP Enterprise Architecture would be ideal but I'll take anyone senior,750000,Critical,Stalled,Elena Duvall,,0.108,"recommended, not yet asked; direct path via Curtis Marchetti (VP Enterprise Architecture)",,,,,,N,0,no replies,crm-name,no,,,
R1093,C036,Strathmore Rail,Head of Platform Engineering,Curtis Hartigan,2025-12-16,long shot — Strathmore Rail. Rafael Hartigan-Zubkov (Head of Platform Engineering). Anyone?,1200000,Critical,Closed - no path,Marcus Aldridge,2025-12-16,0.045,"asked; direct path via Tomás Dobrescu (VP Engineering); stronger path existed via Tomás Beckett (direct, 0.05)",2025-12-16,N,N,N,,N,3,yes,domain-stem,no,,,
R1094,C036,Strathmore Rail,VP Data & Analytics,Hana Nakashima,2026-06-23,long shot — Strathmore Rail. Hugo Glückstein-Sandoval (VP Data & Analytics). Anyone?,750000,High,Open,Marcus Aldridge,2026-06-23,0.045,"asked; direct path via Tomás Dobrescu (VP Engineering); stronger path existed via Tomás Beckett (direct, 0.05)",2026-06-23,N,N,N,,N,0,no replies,domain-stem,no,,,
R1095,,,Chief Digital Officer,Rafael Salcedo,2025-12-24,Yusuf Sandoval-Drummond is the person I need. Pretty sure they're a Chief Digital Officer somewhere in Transport.,750000,Critical,Open,Marcus Aldridge,2025-12-30,,asked; no known path from this connector to the company,2025-12-30,N,N,N,,N,0,no replies,unresolved,company not identifiable; asked with no known path,,,
R1096,,Silverbrook,Head of Developer Productivity,Sloane Fairweather,2026-03-25,need an intro at Silverbrook — anyone?,750000,High,Open,,,,not asked; company unresolved,,,,,,N,3,yes,fund-collision,bare name is a fund and a customer,,fund or operating company — ask the requester,
R1097,C030,Pemberton Retail,VP Data & Analytics,Nadia Okonkwo,2025-12-04,any connections into Pemberton Retail? we're up against a renewal window and I need an intro to VP Data & Analytics,400000,Low,Intro sent,,,,not asked; no path to this company in the network,,,,,,N,3,yes,crm-name,no,"intro claimed, none logged",no path on the roster,
R1098,C031,Priorwood Chemicals,Chief Data Officer,Curtis Hartigan,2026-03-20,"need help getting to Priorwood Chemicals. Liesel Merriweather-Lomsadze is the Chief Data Officer there, cold outbound is going nowhere",150000,Medium,Open,Tomás Beckett,2026-03-26,0.048,"asked; direct path via Curtis Marchetti (VP Enterprise Architecture); stronger path existed via Elena Duvall (direct, 0.11)",2026-03-26,Y,N,N,,N,3,yes,crm-name,no,,,
R1099,C001,Aldergate Telecom,VP Enterprise Architecture,Nadia Okonkwo,2026-01-09,long shot — Aldergate Telecom. Dana Fairweather-Dellinger (VP Enterprise Architecture). Anyone?,400000,Critical,Open,,,,not asked; no path to this company in the network,,,,,,N,1,yes,crm-name,no,,account is Closed Lost,
R1100,C026,Northwind Freight,Chief Technology Officer,Curtis Hartigan,2026-05-08,any connections into Northwind Freight? we're up against a renewal window and I need an intro to Chief Technology Officer,750000,High,Closed - no path,,,,not asked; no path to this company in the network,,,,,,N,2,yes,crm-name,no,,no path on the roster,
R1101,C049,Calderon Aerospace,Head of Developer Productivity,Imani Mkhize,2026-05-09,any connections into Calderon Aerospace? we're up against a renewal window and I need an intro to Head of Developer Productivity,80000,High,Open,Priya Raghunathan,2026-05-11,0.144,asked; direct path via Camille Fairweather (VP Engineering),2026-05-11,Y,Y,Y,,N,1,yes,new-company,no CRM account,,,
R1102,C036,Strathmore Rail,VP Engineering,Yusuf Petrossian,2025-10-27,any connections into Strathmore Rail? we're up against a renewal window and I need an intro to VP Engineering,400000,Low,Routed,Marcus Aldridge,2025-10-31,0.045,"asked; direct path via Tomás Dobrescu (VP Engineering); stronger path existed via Tomás Beckett (direct, 0.05)",2025-10-31,Y,N,N,,N,3,yes,domain-stem,no,,,
R1103,C021,Larchmont Aerospace,SVP Digital,Nadia Okonkwo,2025-11-29,trying to reach SVP Digital at Larchmont Aerospace. I know we sell into Apex Logistics Group and Calderon Aerospace — could either of those relationships get us there?,250000,High,Intro sent,,,,not asked; no path to this company in the network,,,,,,N,0,no replies,raw_ask:crm-name,no,"intro claimed, none logged",account is Closed Lost,
R1104,C011,Ellerby Semiconductor,VP Engineering,Bertrand Vandermolen,2025-12-20,asking again: Ellerby Semiconductor. VP Engineering. Happy to draft the forward myself if someone can vouch.,2000000,Medium,Open,Tomás Beckett,2025-12-22,0.053,"asked; direct path via Sunniva Højgaard (Chief Digital Officer); stronger path existed via Dana Whitfield (direct, 0.06)",2025-12-22,Y,N,N,,N,3,yes,crm-name,no,,,
R1105,C040,Thornbury Financial,Chief Information Officer,Imani Mkhize,2025-09-14,who do we know at Thornbury Financial? Chief Information Officer would be ideal but I'll take anyone senior,2000000,High,Open,,,,not asked; no path to this company in the network,,,,,,N,2,yes,name-exact,no,,no path on the roster,
R1106,,,Head of Developer Productivity,Yusuf Petrossian,2026-07-14,"anyone connected to Arjun Lindqvist-Lomsadze? They run engineering at a large logistics business, I don't have the entity name handy",80000,Critical,Stalled,,,,not asked; company unresolved,,,,,,N,2,yes,unresolved,company not identifiable,,no company named in the ask,
R1107,C046,Vireo Systems,Head of Developer Productivity,Nadia Okonkwo,2025-11-05,long shot — Vireo Systems. Ilse Vandermolen-Grimsby (Head of Developer Productivity). Anyone?,750000,High,Intro sent,Elena Duvall,2025-11-09,0.131,"asked; direct path via Arjun Cathcart (Head of Developer Productivity); stronger path existed via Priya Raghunathan (board, 0.32)",2025-11-09,Y,N,N,,N,3,yes,new-company,no CRM account,"intro claimed, none logged",,
R1108,C016,Gravenhurst Motors,VP Engineering,Yusuf Petrossian,2025-10-09,any connections into Gravenhurst Motors? we're up against a renewal window and I need an intro to VP Engineering,250000,Critical,Stalled,Hana Nakashima,2025-10-11,,"asked Hana Nakashima, who is not on the connector roster",2025-10-11,Y,N,N,,Y,4,no,crm-name,asked person not on roster,,,
R1109,C033,Ravensmoor Defense,VP Engineering,Bertrand Vandermolen,2025-10-24,"need help getting to Ravensmoor Defense. Liesel Bellinger-Dellinger is the VP Engineering there, cold outbound is going nowhere",150000,Critical,Closed - no path,,,,not asked; no path to this company in the network,,,,,,Y,2,no,crm-name,no,,"path exists, never routed",
R1110,,,Chief Technology Officer,Sloane Fairweather,2026-07-13,"anyone connected to Rosalind Isenberg-Prendergast? They run engineering at a large logistics business, I don't have the entity name handy",250000,High,Stalled,Marcus Aldridge,2026-07-16,,asked; no known path from this connector to the company,2026-07-16,Y,N,N,,N,2,yes,unresolved,company not identifiable; asked with no known path,,,
R1111,C041,Vantage Ridge Utilities,Chief Operating Officer,Imani Mkhize,2026-01-29,who do we know at Vantage Ridge Utilities? Chief Operating Officer would be ideal but I'll take anyone senior,1200000,Medium,Intro sent,Marcus Aldridge,,0.171,"recommended, not yet asked; direct path via Sabine Dellinger (Chief Data Officer)",,,,,,N,1,yes,crm-name,no,"intro claimed, none logged",,
R1112,,,VP Engineering,Yusuf Petrossian,2026-01-15,Nadia Mkhize-Ferreira is the person I need. Pretty sure they're a VP Engineering somewhere in Airlines.,80000,High,Closed - no path,,,,not asked; company unresolved,,,,,,N,1,yes,unresolved,company not identifiable,,no company named in the ask,
R1113,C058,Kingsmere Retail Group,Chief Digital Officer,Imani Mkhize,2026-02-01,who do we know at Kingsmere Retail Group? Chief Digital Officer would be ideal but I'll take anyone senior,150000,Medium,Open,Dana Whitfield,2026-02-03,0.145,asked; direct path via Saoirse Quillane (VP Data & Analytics),2026-02-03,Y,N,N,,N,1,yes,new-company,no CRM account,,,
R1114,C023,Marchford Clinics,Head of Platform Engineering,Yusuf Petrossian,2026-02-17,trying to reach Head of Platform Engineering at Marchford Clinics — anyone have a path?,2000000,Medium,Stalled,Marcus Aldridge,2026-02-19,0.081,asked; direct path via Kofi Jarrold (Chief Information Officer),2026-02-19,Y,N,N,,N,2,yes,crm-name,no,,,
R1115,C016,Gravenhurst Motors,SVP Digital,Curtis Hartigan,2026-02-20,trying to reach SVP Digital at Gravenhurst Motors — anyone have a path?,2000000,High,Intro sent,Priya Raghunathan,,0.147,"recommended, not yet asked; investor path via CEO / exec team",,,,,,Y,4,no,crm-name,no,"intro claimed, none logged",,
R1116,C059,Marrow Point Airways,Chief Digital Officer,Curtis Hartigan,2026-04-24,trying to reach Chief Digital Officer at Marrow Point Airways. I know we sell into Kestrel Airlines and Bexley Bioworks — could either of those relationships get us there?,2000000,Medium,Open,,,,not asked; no path to this company in the network,,,,,,N,2,yes,raw_ask:new-company,no CRM account,,company has no CRM record,
R1117,C034,Sablefield Motors,SVP Digital,Yusuf Petrossian,2026-04-11,any connections into Sablefield Motors? we're up against a renewal window and I need an intro to SVP Digital,250000,Low,Open,,,,not asked; no path to this company in the network,,,,,,N,3,yes,crm-name,no,,account is Closed Lost,
R1118,C031,Priorwood Chemicals,Chief Operating Officer,Nadia Okonkwo,2025-09-15,trying to reach Chief Operating Officer at Priorwood Chemicals — anyone have a path?,1200000,Critical,Open,Tomás Beckett,2025-09-16,0.048,"asked; direct path via Curtis Marchetti (VP Enterprise Architecture); stronger path existed via Elena Duvall (direct, 0.11)",2025-09-16,Y,N,N,,N,1,yes,crm-name,no,,,
R1119,,,VP Enterprise Architecture,Imani Mkhize,2026-06-10,Freya Havercamp-Drummond is the person I need. Pretty sure they're a VP Enterprise Architecture somewhere in Aerospace.,150000,Critical,Open,,,,not asked; company unresolved,,,,,,N,1,yes,unresolved,company not identifiable,,no company named in the ask,
R1120,C010,Duncastle Hotels,Chief Information Officer,Yusuf Petrossian,2025-10-28,asking again: Duncastle Hotels. Chief Information Officer. Happy to draft the forward myself if someone can vouch.,80000,High,Stalled,Priya Raghunathan,2025-10-30,0.205,asked; board path via CEO / exec team,2025-10-30,N,N,N,,N,1,yes,name-prefix,no,,,
R1121,C023,Marchford Clinics,VP Engineering,Sloane Fairweather,2025-09-11,"Ferrowick Insurance introduced us to Pelham Beverage, but the account I actually need is Marchford Clinics (VP Engineering).",80000,Medium,Stalled,Marcus Aldridge,2025-09-17,0.081,asked; direct path via Kofi Jarrold (Chief Information Officer),2025-09-17,Y,Y,N,,N,1,yes,raw_ask:crm-name,no,"intro logged, filed as stalled",,
R1122,C016,Gravenhurst Motors,SVP Digital,Rafael Salcedo,2026-07-19,"need help getting to Gravenhurst Motors. Greta Bellinger-Fairweather is the SVP Digital there, cold outbound is going nowhere",1200000,Low,Intro sent,Curtis Hartigan,2026-07-25,,"asked Curtis Hartigan, who is not on the connector roster",2026-07-25,Y,Y,Y,,Y,1,no,crm-name,asked person not on roster,,,
R1123,C007,Brightmoor Energy,VP Enterprise Architecture,Imani Mkhize,2026-04-22,"does anyone know anyone at Brightmoor Energy? looking for VP Enterprise Architecture, ideally warm",2000000,High,Routed,Elena Duvall,2026-04-22,0.129,asked; direct path via Idris Drummond (Chief Digital Officer),2026-04-22,Y,Y,N,,N,1,yes,crm-name,no,,,
R1124,C019,Hollowbrook Grocers,VP Engineering,Yusuf Petrossian,2025-11-10,"need help getting to Hollowbrook Grocers. Anouk Halloran-Lindqvist is the VP Engineering there, cold outbound is going nowhere",1200000,High,Open,Priya Raghunathan,2025-11-13,0.205,asked; board path via CEO / exec team,2025-11-13,N,N,N,,Y,1,no,crm-name,no,,,
R1125,C036,Strathmore Rail,Chief Operating Officer,Sloane Fairweather,2026-07-05,asking again: Strathmore Rail. Chief Operating Officer. Happy to draft the forward myself if someone can vouch.,400000,High,Open,Tomás Beckett,,0.053,"recommended, not yet asked; direct path via Bertrand Lomsadze (Chief Digital Officer)",,,,,,N,3,yes,domain-stem,no,,,
R1126,,Cobalt Lane,Chief Information Officer,Sloane Fairweather,2026-03-09,path into Cobalt Lane? our champion mentioned them last week,750000,High,Open,,,,not asked; company unresolved,,,,,,N,2,yes,fund-collision,bare name is a fund and a customer,,fund or operating company — ask the requester,
R1127,C017,Halcyon Grid,SVP Digital,Imani Mkhize,2026-05-26,asking again: Halcyon Grid. SVP Digital. Happy to draft the forward myself if someone can vouch.,750000,High,Open,,,,not asked; no path to this company in the network,,,,,,N,1,yes,crm-name,no,,no path on the roster,
R1128,C058,Kingsmere Retail Group,VP Enterprise Architecture,Nadia Okonkwo,2025-12-26,who do we know at Kingsmere Retail Group? VP Enterprise Architecture would be ideal but I'll take anyone senior,80000,Critical,Routed,Dana Whitfield,,0.145,"recommended, not yet asked; direct path via Saoirse Quillane (VP Data & Analytics)",,,,,,N,1,yes,new-company,no CRM account,,,
R1129,C024,Marlowe Freight Systems,Chief Digital Officer,Nadia Okonkwo,2026-05-06,"Sundermere Bank introduced us to Redtree Foods, but the account I actually need is Marlowe Freight Systems (Chief Digital Officer).",1200000,Critical,Routed,Marcus Aldridge,2026-05-07,0.161,asked; direct path via Marcus Merriweather (Chief Data Officer),2026-05-07,Y,Y,Y,1200000,N,2,yes,raw_ask:crm-name,no,,,
R1130,C006,Blackwood Industrial,Director of Software Engineering,Sloane Fairweather,2026-02-04,trying to reach Director of Software Engineering at Blackwood Industrial — anyone have a path?,80000,Low,Stalled,Tomás Beckett,2026-02-10,0.053,"asked; direct path via Marcus Højgaard (Chief Technology Officer); stronger path existed via Elena Duvall (direct, 0.19)",2026-02-10,Y,N,N,,Y,1,no,domain-stem,no,,,
R1131,C046,Vireo Systems,Chief Data Officer,Rafael Salcedo,2026-06-20,trying to reach Chief Data Officer at Vireo Systems. I know we sell into Volney Industrial Systems and Larchmont Aerospace — could either of those relationships get us there?,1200000,Low,Stalled,Elena Duvall,2026-06-25,0.131,"asked; direct path via Arjun Cathcart (Head of Developer Productivity); stronger path existed via Priya Raghunathan (board, 0.32)",2026-06-25,N,N,N,,N,3,yes,raw_ask:new-company,no CRM account,,,
R1132,C036,Strathmore Rail,Chief Operating Officer,Sloane Fairweather,2025-12-13,asking again: Strathmore Rail. Chief Operating Officer. Happy to draft the forward myself if someone can vouch.,150000,High,Routed,Tomás Beckett,,0.053,"recommended, not yet asked; direct path via Bertrand Lomsadze (Chief Digital Officer)",,,,,,N,0,no replies,domain-stem,no,,,
R1133,C059,Marrow Point Airways,Chief Technology Officer,Sloane Fairweather,2026-04-08,long shot — Marrow Point Airways. Mei Eastcott-Thackeray (Chief Technology Officer). Anyone?,1200000,Low,Open,,,,not asked; no path to this company in the network,,,,,,N,1,yes,new-company,no CRM account,,company has no CRM record,
R1134,C024,Marlowe Freight Systems,Chief Technology Officer,Bertrand Vandermolen,2026-03-05,"Harrowgate Health introduced us to Copperline Water, but the account I actually need is Marlowe Freight Systems (Chief Technology Officer).",1200000,High,Open,Marcus Aldridge,,0.161,"recommended, not yet asked; direct path via Marcus Merriweather (Chief Data Officer)",,,,,,N,2,yes,raw_ask:crm-name,no,,,
R1135,C045,redtreefoods.com,Chief Digital Officer,Curtis Hartigan,2025-12-08,"looking for a path to Ilse Oldfield-Dobrescu — email domain is redtreefoods.com, that's all I have",750000,High,Open,Priya Raghunathan,2025-12-13,0.229,asked; investor path via CEO / exec team,2025-12-13,Y,N,N,,N,0,no replies,raw_ask:name-exact,no CRM account,,,
R1136,C018,Harrowgate Health,SVP Digital,Nadia Okonkwo,2026-03-14,who do we know at Harrowgate Health? SVP Digital would be ideal but I'll take anyone senior,1200000,Low,Open,Tomás Beckett,,0.079,"recommended, not yet asked; direct path via Marcus Salcedo (Director of Software Engineering)",,,,,,Y,2,no,crm-name,no,,,
R1137,C018,Harrowgate Health,Chief Digital Officer,Imani Mkhize,2025-09-15,trying to reach Chief Digital Officer at Harrowgate Health — anyone have a path?,250000,High,Open,Tomás Beckett,2025-09-16,0.079,asked; direct path via Marcus Salcedo (Director of Software Engineering),2025-09-16,N,N,N,,N,2,yes,crm-name,no,,,
R1138,C034,Sablefield Motors,Chief Information Officer,Yusuf Petrossian,2026-04-06,"does anyone know anyone at Sablefield Motors? looking for Chief Information Officer, ideally warm",80000,High,Open,,,,not asked; no path to this company in the network,,,,,,N,1,yes,crm-name,no,,account is Closed Lost,
R1139,C007,Brightmoor Energy,VP Data & Analytics,Bertrand Vandermolen,2025-10-28,asking again: Brightmoor Energy. VP Data & Analytics. Happy to draft the forward myself if someone can vouch.,1200000,Critical,Closed - no path,Elena Duvall,,0.129,"recommended, not yet asked; direct path via Idris Drummond (Chief Digital Officer)",,,,,,N,3,yes,crm-name,no,,,
R1140,C018,Harrowgate Health,Chief Digital Officer,Yusuf Petrossian,2025-09-17,"need help getting to Harrowgate Health. Freya Lindqvist-Eastcott is the Chief Digital Officer there, cold outbound is going nowhere",80000,Low,Open,Tomás Beckett,2025-09-18,0.079,asked; direct path via Marcus Salcedo (Director of Software Engineering),2025-09-18,Y,Y,N,,N,3,yes,crm-name,no,,,
R1141,C020,Ironvale Steel,VP Enterprise Architecture,Curtis Hartigan,2025-11-25,"need help getting to Ironvale Steel. Priya Rushworth-Fairweather is the VP Enterprise Architecture there, cold outbound is going nowhere",400000,High,Intro sent,Priya Raghunathan,2025-11-25,0.123,"asked; direct path via Tanvi Eastcott (Chief Data Officer); stronger path existed via Marcus Aldridge (direct, 0.21)",2025-11-25,Y,Y,N,,N,3,yes,crm-name,no,,,
R1142,C023,Marchford Clinics,Chief Technology Officer,Rafael Salcedo,2025-09-26,who do we know at Marchford Clinics? Chief Technology Officer would be ideal but I'll take anyone senior,2000000,Low,Stalled,Marcus Aldridge,,0.081,"recommended, not yet asked; direct path via Kofi Jarrold (Chief Information Officer)",,,,,,N,1,yes,crm-name,no,,,
R1143,C016,Gravenhurst Motors,Chief Operating Officer,Sloane Fairweather,2026-03-04,any connections into Gravenhurst Motors? we're up against a renewal window and I need an intro to Chief Operating Officer,150000,Low,Routed,Priya Raghunathan,,0.147,"recommended, not yet asked; investor path via CEO / exec team",,,,,,N,0,no replies,crm-name,no,,,
R1144,C008,Cindermill Mining,VP Engineering,Curtis Hartigan,2025-08-17,long shot — Cindermill Mining. Amara Højgaard-Egerton (VP Engineering). Anyone?,400000,Critical,Open,Elena Duvall,,0.119,"recommended, not yet asked; direct path via Bertrand Glückstein (Chief Data Officer)",,,,,,N,2,yes,name-prefix,no,,,
R1145,,,SVP Digital,Bertrand Vandermolen,2026-04-12,Zaid Falkenrath-Lomsadze is the person I need. Pretty sure they're a SVP Digital somewhere in Financial Services.,80000,High,Stalled,,,,not asked; company unresolved,,,,,,N,2,yes,unresolved,company not identifiable,,no company named in the ask,
R1146,C021,Larchmont Aerospace,Chief Operating Officer,Nadia Okonkwo,2026-03-15,trying to reach Chief Operating Officer at Larchmont Aerospace. I know we sell into Ellerby Semiconductor and Quillon Pharma — could either of those relationships get us there?,1200000,High,Intro sent,,,,not asked; no path to this company in the network,,,,,,N,1,yes,raw_ask:crm-name,no,"intro claimed, none logged",account is Closed Lost,
R1147,C058,Kingsmere Retail Group,VP Enterprise Architecture,Hana Nakashima,2026-02-11,"does anyone know anyone at Kingsmere Retail Group? looking for VP Enterprise Architecture, ideally warm",1200000,Medium,Closed - no path,Dana Whitfield,2026-02-16,0.145,asked; direct path via Saoirse Quillane (VP Data & Analytics),2026-02-16,N,N,N,,N,0,no replies,new-company,no CRM account,,,
R1148,C039,Thistledown Energy,Chief Information Officer,Hana Nakashima,2026-04-14,who do we know at Thistledown Energy? Chief Information Officer would be ideal but I'll take anyone senior,150000,High,Intro sent,,,,not asked; no path to this company in the network,,,,,,N,3,yes,crm-name,no,"intro claimed, none logged",no path on the roster,
R1149,C016,Gravenhurst Motors,Chief Digital Officer,Rafael Salcedo,2026-05-02,trying to reach Chief Digital Officer at Gravenhurst Motors — anyone have a path?,80000,Critical,Routed,Priya Raghunathan,2026-05-05,0.147,asked; investor path via CEO / exec team,2026-05-05,Y,Y,Y,80000,N,2,yes,crm-name,no,,,
R1150,C031,Priorwood Chemicals,Chief Information Officer,Curtis Hartigan,2026-03-09,long shot — Priorwood Chemicals. Odette Balogun-Dobrescu (Chief Information Officer). Anyone?,750000,High,Stalled,Tomás Beckett,2026-03-09,0.048,"asked; direct path via Curtis Marchetti (VP Enterprise Architecture); stronger path existed via Elena Duvall (direct, 0.11)",2026-03-09,Y,Y,Y,750000,N,1,yes,crm-name,no,"intro logged, filed as stalled",,
R1151,C050,Copperline Water,VP Engineering,Nadia Okonkwo,2026-07-20,trying to reach VP Engineering at Copperline Water — anyone have a path?,250000,High,Closed - no path,,,,not asked; no path to this company in the network,,,,,,N,2,yes,new-company,no CRM account,,company has no CRM record,
R1152,C039,Thistledown Energy,Head of Developer Productivity,Rafael Salcedo,2025-12-18,trying to reach Head of Developer Productivity at Thistledown Energy — anyone have a path?,400000,High,Routed,,,,not asked; no path to this company in the network,,,,,,N,0,no replies,crm-name,no,,no path on the roster,
R1153,C018,Harrowgate Health,Chief Operating Officer,Nadia Okonkwo,2025-11-29,"does anyone know anyone at Harrowgate Health? looking for Chief Operating Officer, ideally warm",750000,Critical,Stalled,Tomás Beckett,,0.079,"recommended, not yet asked; direct path via Marcus Salcedo (Director of Software Engineering)",,,,,,N,0,no replies,crm-name,no,,,
R1154,C003,Apex Logistics Group,Head of Platform Engineering,Yusuf Petrossian,2026-03-02,who do we know at Apex Logistics Group? Head of Platform Engineering would be ideal but I'll take anyone senior,2000000,Critical,Stalled,Marcus Aldridge,2026-03-05,0.168,asked; direct path via Astrid Salcedo (VP Data & Analytics),2026-03-05,Y,Y,N,,N,1,yes,domain-stem,no,"intro logged, filed as stalled",,
R1155,C046,Vireo Systems,VP Engineering,Hana Nakashima,2026-06-28,long shot — Vireo Systems. Niall Jarrold-Norrington (VP Engineering). Anyone?,1200000,Low,Intro sent,Elena Duvall,2026-07-01,0.131,"asked; direct path via Arjun Cathcart (Head of Developer Productivity); stronger path existed via Priya Raghunathan (board, 0.32)",2026-07-01,N,N,N,,N,3,yes,new-company,no CRM account,"intro claimed, none logged",,
R1156,C043,Wrenfield Robotics,Head of Developer Productivity,Hana Nakashima,2025-10-01,long shot — Wrenfield Robotics. Astrid Vandermolen-Petrossian (Head of Developer Productivity). Anyone?,1200000,High,Routed,Priya Raghunathan,2025-10-01,0.130,asked; direct path via Saoirse Prendergast (Head of Platform Engineering),2025-10-01,Y,Y,N,,N,0,no replies,name-exact,no,,,
R1157,C018,Harrowgate Health,VP Enterprise Architecture,Yusuf Petrossian,2026-04-28,"does anyone know anyone at Harrowgate Health? looking for VP Enterprise Architecture, ideally warm",750000,Medium,Stalled,Tomás Beckett,2026-05-01,0.079,asked; direct path via Marcus Salcedo (Director of Software Engineering),2026-05-01,Y,N,N,,N,3,yes,crm-name,no,,,
R1158,C016,Gravenhurst Motors,Head of Platform Engineering,Rafael Salcedo,2025-10-30,any connections into Gravenhurst Motors? we're up against a renewal window and I need an intro to Head of Platform Engineering,750000,Critical,Open,Priya Raghunathan,,0.147,"recommended, not yet asked; investor path via CEO / exec team",,,,,,N,2,yes,crm-name,no,,,
R1159,C019,Hollowbrook Grocers,VP Enterprise Architecture,Bertrand Vandermolen,2025-12-11,"Glasspoint Health introduced us to Pelham Beverage, but the account I actually need is Hollowbrook Grocers (VP Enterprise Architecture).",1200000,Critical,Open,Priya Raghunathan,,0.205,"recommended, not yet asked; board path via CEO / exec team",,,,,,N,2,yes,raw_ask:crm-name,no,,,
R1160,C016,Gravenhurst Motors,Director of Software Engineering,Bertrand Vandermolen,2026-05-22,any connections into Gravenhurst Motors? we're up against a renewal window and I need an intro to Director of Software Engineering,150000,High,Closed - no path,Priya Raghunathan,2026-05-26,0.147,asked; investor path via CEO / exec team,2026-05-26,Y,Y,N,,N,2,yes,crm-name,no,"closed as no-path, path exists",,
R1161,C026,Northwind Freight,Chief Digital Officer,Bertrand Vandermolen,2025-12-20,"need help getting to Northwind Freight. Malik Højgaard-Ferreira is the Chief Digital Officer there, cold outbound is going nowhere",80000,Critical,Routed,,,,not asked; no path to this company in the network,,,,,,N,1,yes,crm-name,no,,no path on the roster,
R1162,C023,Marchford Clinics,Chief Information Officer,Curtis Hartigan,2026-06-02,"Marchford Clinics is the target. Our champion at Calderon Aerospace used to work with their team, and I think Meridian Peak Foods is a supplier of theirs. Any path?",80000,High,Open,Marcus Aldridge,2026-06-04,0.081,asked; direct path via Kofi Jarrold (Chief Information Officer),2026-06-04,N,N,N,,N,1,yes,raw_ask:crm-name,no,,,
R1163,C028,Osric Networks,Chief Data Officer,Curtis Hartigan,2026-03-25,"need help getting to Osric Networks. Hana Salcedo-Balogun is the Chief Data Officer there, cold outbound is going nowhere",400000,High,Open,Elena Duvall,2026-03-27,,asked; no known path from this connector to the company,2026-03-27,Y,Y,Y,400000,Y,3,no,crm-name,asked with no known path,,,
