request_id,company_id,company_name,kind,method,confidence,needs_review,candidates,extracted,opening_message
R1169,C044,Yarrowdale Media,company,name-exact,1.00,no,,Yarrowdale Media,long shot — Yarrowdale Media. Tanvi Thackeray-Wolstenholme (VP Data & Analytics). Anyone?
R1170,C028,Osric Networks,company,name-exact,1.00,no,,Osric Networks,any connections into Osric Networks? we're up against a renewal window and I need an intro to SVP Digital
R1171,,,,unmatched,0.00,yes,,Kingsmere Retail Group,"need help getting to Kingsmere Retail Group. Tanvi Prendergast-Falkenrath is the VP Enterprise Architecture there, cold outbound is going nowhere"
R1172,C025,Meridian Holdings,company,domain-stem,0.95,no,,Meridian Peak Foods,any connections into Meridian Peak Foods? we're up against a renewal window and I need an intro to VP Engineering
R1173,C018,Harrowgate Health,company,name-exact,1.00,no,,Harrowgate Health,"does anyone know anyone at Harrowgate Health? looking for VP Engineering, ideally warm"
R1174,C031,Priorwood Chemicals,company,name-exact,1.00,no,,Priorwood Chemicals,trying to reach Head of Platform Engineering at Priorwood Chemicals — anyone have a path?
R1175,,,,unmatched,0.00,yes,,Copperline Water,asking again: Copperline Water. Chief Digital Officer. Happy to draft the forward myself if someone can vouch.
R1176,C029,Pelham Beverage,company,name-exact,1.00,no,,Pelham Beverage,"does anyone know anyone at Pelham Beverage? looking for Head of Platform Engineering, ideally warm"
R1177,C017,Halcyon Grid,company,name-exact,1.00,no,,Halcyon Grid,"Halcyon Grid is the target. Our champion at Apex Logistics Group used to work with their team, and I think Yarrowdale Media is a supplier of theirs. Any path?"
R1178,C032,Quillon Pharma,company,name-exact,1.00,no,,Quillon Pharma,"need help getting to Quillon Pharma. Tanvi Eastcott-Lindqvist is the SVP Digital there, cold outbound is going nowhere"
R1179,C006,Blackwood Holdings,company,domain-stem,0.95,no,,Blackwood Industrial,"need help getting to Blackwood Industrial. Rhys Balogun-Kirkbride is the SVP Digital there, cold outbound is going nowhere"
R1180,C040,Thornbury Financial,company,name-exact,1.00,no,,Thornbury Financial,long shot — Thornbury Financial. Dev Vandermolen-Havercamp (Director of Software Engineering). Anyone?
R1181,,,,no-company-named,0.00,yes,,,Sabine Zettergren-Ashdown is the person I need. Pretty sure they're a Chief Operating Officer somewhere in Healthcare.
R1182,C034,Sablefield Motors,company,name-exact,1.00,no,,Sablefield Motors,trying to reach VP Data & Analytics at Sablefield Motors. I know we sell into Cobalt Lane Capital Markets and Kingsmere Retail Group — could either of those relationships get us there?
R1183,C010,Duncastle Holdings,company,domain,1.00,no,,duncastle.com,"looking for a path to Leandro Okonkwo-Oldfield — email domain is duncastle.com, that's all I have"
R1184,C008,Cindermill Holdings,company,name-prefix,0.78,no,C008 Cindermill Holdings (company),Cindermill Mining,long shot — Cindermill Mining. Bo Zettergren-Wexford (Chief Digital Officer). Anyone?
R1185,C016,Gravenhurst Motors,company,name-exact,1.00,no,,Gravenhurst Motors,"need help getting to Gravenhurst Motors. Rosalind Zubkov-Isenberg is the VP Enterprise Architecture there, cold outbound is going nowhere"
R1186,C003,Apex Holdings,company,domain-stem,0.95,no,,Apex Logistics Group,trying to reach VP Engineering at Apex Logistics Group. I know we sell into Priorwood Chemicals and Tessellate Payments — could either of those relationships get us there?
R1187,C004,Ashgrove Agriculture,company,name-exact,1.00,no,,Ashgrove Agriculture,who do we know at Ashgrove Agriculture? Chief Digital Officer would be ideal but I'll take anyone senior
R1188,C026,Northwind Freight,company,name-exact,1.00,no,,Northwind Freight,who do we know at Northwind Freight? VP Engineering would be ideal but I'll take anyone senior
R1189,,,,unmatched,0.00,yes,,Marrow Point Airways,asking again: Marrow Point Airways. Chief Information Officer. Happy to draft the forward myself if someone can vouch.
R1190,C007,Brightmoor Energy,company,name-exact,1.00,no,,Brightmoor Energy,asking again: Brightmoor Energy. VP Enterprise Architecture. Happy to draft the forward myself if someone can vouch.
R1191,C042,Volney Industrial Systems,company,name-exact,1.00,no,,Volney Industrial Systems,asking again: Volney Industrial Systems. Chief Digital Officer. Happy to draft the forward myself if someone can vouch.
R1192,C031,Priorwood Chemicals,company,name-exact,1.00,no,,Priorwood Chemicals,trying to reach Chief Operating Officer at Priorwood Chemicals — anyone have a path?
R1193,,,,unmatched,0.00,yes,,Kingsmere Retail Group,trying to reach Chief Operating Officer at Kingsmere Retail Group — anyone have a path?
R1194,,,,unmatched,0.00,yes,,Marrow Point Airways,asking again: Marrow Point Airways. VP Data & Analytics. Happy to draft the forward myself if someone can vouch.
R1195,C043,Wrenfield Robotics,company,name-exact,1.00,no,,Wrenfield Robotics,trying to reach SVP Digital at Wrenfield Robotics. I know we sell into Copperline Water and Harrowgate Health — could either of those relationships get us there?
R1196,C031,Priorwood Chemicals,company,name-exact,1.00,no,,Priorwood Chemicals,asking again: Priorwood Chemicals. Chief Technology Officer. Happy to draft the forward myself if someone can vouch.
R1197,C002,Apex Logistics,company,name-exact,1.00,no,,Apex Logistics,need an intro at Apex Logistics — anyone?
R1198,C032,Quillon Pharma,company,name-exact,1.00,no,,Quillon Pharma,who do we know at Quillon Pharma? Chief Operating Officer would be ideal but I'll take anyone senior
R1199,,,,unmatched,0.00,yes,,Vireo Systems,any connections into Vireo Systems? we're up against a renewal window and I need an intro to Chief Digital Officer
R1200,C029,Pelham Beverage,company,name-exact,1.00,no,,Pelham Beverage,"Pelham Beverage is the target. Our champion at Northwind Freight used to work with their team, and I think Apex Logistics is a supplier of theirs. Any path?"
