request_id,requested_by,requester_role,request_date,raw_ask,target_company_raw,target_person_raw,target_title_raw,deal_value_usd,urgency,path_found_flag,status
R1128,Nadia Okonkwo,"AE, Industrials",2025-12-26,who do we know at Kingsmere Retail Group? VP Enterprise Architecture would be ideal but I'll take anyone senior,Kingsmere Retail Group,,VP Enterprise Architecture,80000,Critical,Unknown,Routed
R1129,Nadia Okonkwo,"AE, Industrials",2026-05-06,"Sundermere Bank introduced us to Redtree Foods, but the account I actually need is Marlowe Freight Systems (Chief Digital Officer).",,,Chief Digital Officer,1200000,Critical,Unknown,Routed
R1130,Sloane Fairweather,Strategic AE,2026-02-04,trying to reach Director of Software Engineering at Blackwood Industrial — anyone have a path?,Blackwood Industrial,Ilse Wolstenholme-Oyelaran,Director of Software Engineering,80000,Low,No path found,Stalled
R1131,Rafael Salcedo,"AE, Transport & Logistics",2026-06-20,trying to reach Chief Data Officer at Vireo Systems. I know we sell into Volney Industrial Systems and Larchmont Aerospace — could either of those relationships get us there?,,,Chief Data Officer,1200000,Low,,Stalled
R1132,Sloane Fairweather,Strategic AE,2025-12-13,asking again: Strathmore Rail. Chief Operating Officer. Happy to draft the forward myself if someone can vouch.,Strathmore Rail,,Chief Operating Officer,150000,High,,Routed
R1133,Sloane Fairweather,Strategic AE,2026-04-08,long shot — Marrow Point Airways. Mei Eastcott-Thackeray (Chief Technology Officer). Anyone?,Marrow Point Airways,,Chief Technology Officer,1200000,Low,,Open
R1134,Bertrand Vandermolen,"AE, EMEA",2026-03-05,"Harrowgate Health introduced us to Copperline Water, but the account I actually need is Marlowe Freight Systems (Chief Technology Officer).",,,Chief Technology Officer,1200000,High,Path found,Open
R1135,Curtis Hartigan,"AE, Financial Services",2025-12-08,"looking for a path to Ilse Oldfield-Dobrescu — email domain is redtreefoods.com, that's all I have",,Ilse Oldfield-Dobrescu,Chief Digital Officer,750000,High,Unknown,Open
R1136,Nadia Okonkwo,"AE, Industrials",2026-03-14,who do we know at Harrowgate Health? SVP Digital would be ideal but I'll take anyone senior,Harrowgate Health,,SVP Digital,1200000,Low,No path found,Open
R1137,Imani Mkhize,"Enterprise AE, West",2025-09-15,trying to reach Chief Digital Officer at Harrowgate Health — anyone have a path?,Harrowgate Health,Emeka Underhill-Zubkov,Chief Digital Officer,250000,High,Path found,Open
R1138,Yusuf Petrossian,SDR Lead,2026-04-06,"does anyone know anyone at Sablefield Motors? looking for Chief Information Officer, ideally warm",Sablefield Motors,,Chief Information Officer,80000,High,,Open
R1139,Bertrand Vandermolen,"AE, EMEA",2025-10-28,asking again: Brightmoor Energy. VP Data & Analytics. Happy to draft the forward myself if someone can vouch.,Brightmoor Energy,,VP Data & Analytics,1200000,Critical,Path found,Closed - no path
R1140,Yusuf Petrossian,SDR Lead,2025-09-17,"need help getting to Harrowgate Health. Freya Lindqvist-Eastcott is the Chief Digital Officer there, cold outbound is going nowhere",Harrowgate Health,,Chief Digital Officer,80000,Low,Path found,Open
R1141,Curtis Hartigan,"AE, Financial Services",2025-11-25,"need help getting to Ironvale Steel. Priya Rushworth-Fairweather is the VP Enterprise Architecture there, cold outbound is going nowhere",Ironvale Steel,,VP Enterprise Architecture,400000,High,Path found,Intro sent
R1142,Rafael Salcedo,"AE, Transport & Logistics",2025-09-26,who do we know at Marchford Clinics? Chief Technology Officer would be ideal but I'll take anyone senior,Marchford Clinics,,Chief Technology Officer,2000000,Low,,Stalled
R1143,Sloane Fairweather,Strategic AE,2026-03-04,any connections into Gravenhurst Motors? we're up against a renewal window and I need an intro to Chief Operating Officer,Gravenhurst Motors,,Chief Operating Officer,150000,Low,Path found,Routed
R1144,Curtis Hartigan,"AE, Financial Services",2025-08-17,long shot — Cindermill Mining. Amara Højgaard-Egerton (VP Engineering). Anyone?,Cindermill Mining,,VP Engineering,400000,Critical,Unknown,Open
R1145,Bertrand Vandermolen,"AE, EMEA",2026-04-12,Zaid Falkenrath-Lomsadze is the person I need. Pretty sure they're a SVP Digital somewhere in Financial Services.,,Zaid Falkenrath-Lomsadze,SVP Digital,80000,High,,Stalled
R1146,Nadia Okonkwo,"AE, Industrials",2026-03-15,trying to reach Chief Operating Officer at Larchmont Aerospace. I know we sell into Ellerby Semiconductor and Quillon Pharma — could either of those relationships get us there?,,,Chief Operating Officer,1200000,High,Unknown,Intro sent
R1147,Hana Nakashima,"AE, Healthcare",2026-02-11,"does anyone know anyone at Kingsmere Retail Group? looking for VP Enterprise Architecture, ideally warm",Kingsmere Retail Group,,VP Enterprise Architecture,1200000,Medium,Unknown,Closed - no path
R1148,Hana Nakashima,"AE, Healthcare",2026-04-14,who do we know at Thistledown Energy? Chief Information Officer would be ideal but I'll take anyone senior,Thistledown Energy,,Chief Information Officer,150000,High,No path found,Intro sent
R1149,Rafael Salcedo,"AE, Transport & Logistics",2026-05-02,trying to reach Chief Digital Officer at Gravenhurst Motors — anyone have a path?,Gravenhurst Motors,,Chief Digital Officer,80000,Critical,Path found,Routed
R1150,Curtis Hartigan,"AE, Financial Services",2026-03-09,long shot — Priorwood Chemicals. Odette Balogun-Dobrescu (Chief Information Officer). Anyone?,Priorwood Chemicals,,Chief Information Officer,750000,High,Path found,Stalled
R1151,Nadia Okonkwo,"AE, Industrials",2026-07-20,trying to reach VP Engineering at Copperline Water — anyone have a path?,Copperline Water,Nadia Bellinger-Ingleby,VP Engineering,250000,High,,Closed - no path
R1152,Rafael Salcedo,"AE, Transport & Logistics",2025-12-18,trying to reach Head of Developer Productivity at Thistledown Energy — anyone have a path?,Thistledown Energy,,Head of Developer Productivity,400000,High,No path found,Routed
R1153,Nadia Okonkwo,"AE, Industrials",2025-11-29,"does anyone know anyone at Harrowgate Health? looking for Chief Operating Officer, ideally warm",Harrowgate Health,,Chief Operating Officer,750000,Critical,Unknown,Stalled
R1154,Yusuf Petrossian,SDR Lead,2026-03-02,who do we know at Apex Logistics Group? Head of Platform Engineering would be ideal but I'll take anyone senior,Apex Logistics Group,,Head of Platform Engineering,2000000,Critical,Path found,Stalled
R1155,Hana Nakashima,"AE, Healthcare",2026-06-28,long shot — Vireo Systems. Niall Jarrold-Norrington (VP Engineering). Anyone?,Vireo Systems,Niall Jarrold-Norrington,VP Engineering,1200000,Low,,Intro sent
R1156,Hana Nakashima,"AE, Healthcare",2025-10-01,long shot — Wrenfield Robotics. Astrid Vandermolen-Petrossian (Head of Developer Productivity). Anyone?,Wrenfield Robotics,,Head of Developer Productivity,1200000,High,Unknown,Routed
R1157,Yusuf Petrossian,SDR Lead,2026-04-28,"does anyone know anyone at Harrowgate Health? looking for VP Enterprise Architecture, ideally warm",Harrowgate Health,,VP Enterprise Architecture,750000,Medium,Unknown,Stalled
R1158,Rafael Salcedo,"AE, Transport & Logistics",2025-10-30,any connections into Gravenhurst Motors? we're up against a renewal window and I need an intro to Head of Platform Engineering,Gravenhurst Motors,,Head of Platform Engineering,750000,Critical,Unknown,Open
R1159,Bertrand Vandermolen,"AE, EMEA",2025-12-11,"Glasspoint Health introduced us to Pelham Beverage, but the account I actually need is Hollowbrook Grocers (VP Enterprise Architecture).",,,VP Enterprise Architecture,1200000,Critical,,Open
R1160,Bertrand Vandermolen,"AE, EMEA",2026-05-22,any connections into Gravenhurst Motors? we're up against a renewal window and I need an intro to Director of Software Engineering,Gravenhurst Motors,Gideon Fontaine-Crowther,Director of Software Engineering,150000,High,Path found,Closed - no path
R1161,Bertrand Vandermolen,"AE, EMEA",2025-12-20,"need help getting to Northwind Freight. Malik Højgaard-Ferreira is the Chief Digital Officer there, cold outbound is going nowhere",Northwind Freight,Malik Højgaard-Ferreira,Chief Digital Officer,80000,Critical,No path found,Routed
R1162,Curtis Hartigan,"AE, Financial Services",2026-06-02,"Marchford Clinics is the target. Our champion at Calderon Aerospace used to work with their team, and I think Meridian Peak Foods is a supplier of theirs. Any path?",,,Chief Information Officer,80000,High,,Open
R1163,Curtis Hartigan,"AE, Financial Services",2026-03-25,"need help getting to Osric Networks. Hana Salcedo-Balogun is the Chief Data Officer there, cold outbound is going nowhere",Osric Networks,,Chief Data Officer,400000,High,No path found,Open
R1164,Hana Nakashima,"AE, Healthcare",2025-08-06,"looking for a path to Marisol Glückstein-Havercamp — email domain is thornburyfinancial.com, that's all I have",,Marisol Glückstein-Havercamp,Director of Software Engineering,150000,Low,Unknown,Intro sent
R1165,Sloane Fairweather,Strategic AE,2026-04-30,trying to reach Head of Platform Engineering at Pemberton Retail — anyone have a path?,Pemberton Retail,,Head of Platform Engineering,80000,Low,,Open
R1166,Rafael Salcedo,"AE, Transport & Logistics",2025-11-08,"need help getting to Vireo Systems. Gideon Achterberg-Thackeray is the Chief Operating Officer there, cold outbound is going nowhere",Vireo Systems,,Chief Operating Officer,750000,High,Path found,Closed - no path
R1167,Nadia Okonkwo,"AE, Industrials",2026-01-15,who do we know at Osric Networks? Director of Software Engineering would be ideal but I'll take anyone senior,Osric Networks,Desmond Wexford-Norrington,Director of Software Engineering,250000,Critical,No path found,Stalled
R1168,Bertrand Vandermolen,"AE, EMEA",2026-07-22,any connections into Meridian Peak Foods? we're up against a renewal window and I need an intro to VP Engineering,Meridian Peak Foods,,VP Engineering,750000,Medium,Path found,Open
R1169,Curtis Hartigan,"AE, Financial Services",2026-07-10,long shot — Yarrowdale Media. Tanvi Thackeray-Wolstenholme (VP Data & Analytics). Anyone?,Yarrowdale Media,,VP Data & Analytics,150000,High,No path found,Stalled
R1170,Hana Nakashima,"AE, Healthcare",2025-09-10,any connections into Osric Networks? we're up against a renewal window and I need an intro to SVP Digital,Osric Networks,,SVP Digital,1200000,High,No path found,Open
R1171,Curtis Hartigan,"AE, Financial Services",2026-01-12,"need help getting to Kingsmere Retail Group. Tanvi Prendergast-Falkenrath is the VP Enterprise Architecture there, cold outbound is going nowhere",Kingsmere Retail Group,Tanvi Prendergast-Falkenrath,VP Enterprise Architecture,1200000,Medium,,Open
R1172,Hana Nakashima,"AE, Healthcare",2025-10-21,any connections into Meridian Peak Foods? we're up against a renewal window and I need an intro to VP Engineering,Meridian Peak Foods,Noor Isenberg-Dobrescu,VP Engineering,150000,High,Path found,Intro sent
R1173,Rafael Salcedo,"AE, Transport & Logistics",2025-10-06,"does anyone know anyone at Harrowgate Health? looking for VP Engineering, ideally warm",Harrowgate Health,,VP Engineering,150000,Medium,Unknown,Intro sent
R1174,Yusuf Petrossian,SDR Lead,2026-05-29,trying to reach Head of Platform Engineering at Priorwood Chemicals — anyone have a path?,Priorwood Chemicals,Amara Kettleborough-Højgaard,Head of Platform Engineering,150000,Critical,Unknown,Open
R1175,Imani Mkhize,"Enterprise AE, West",2025-11-20,asking again: Copperline Water. Chief Digital Officer. Happy to draft the forward myself if someone can vouch.,Copperline Water,,Chief Digital Officer,80000,Critical,No path found,Closed - no path
R1176,Yusuf Petrossian,SDR Lead,2026-04-03,"does anyone know anyone at Pelham Beverage? looking for Head of Platform Engineering, ideally warm",Pelham Beverage,,Head of Platform Engineering,400000,Critical,No path found,Stalled
R1177,Nadia Okonkwo,"AE, Industrials",2026-01-10,"Halcyon Grid is the target. Our champion at Apex Logistics Group used to work with their team, and I think Yarrowdale Media is a supplier of theirs. Any path?",,,Chief Digital Officer,2000000,Medium,No path found,Open
R1178,Bertrand Vandermolen,"AE, EMEA",2026-05-16,"need help getting to Quillon Pharma. Tanvi Eastcott-Lindqvist is the SVP Digital there, cold outbound is going nowhere",Quillon Pharma,,SVP Digital,750000,High,Path found,Closed - no path
R1179,Nadia Okonkwo,"AE, Industrials",2025-12-10,"need help getting to Blackwood Industrial. Rhys Balogun-Kirkbride is the SVP Digital there, cold outbound is going nowhere",Blackwood Industrial,,SVP Digital,250000,High,Path found,Open
R1180,Rafael Salcedo,"AE, Transport & Logistics",2025-08-07,long shot — Thornbury Financial. Dev Vandermolen-Havercamp (Director of Software Engineering). Anyone?,Thornbury Financial,,Director of Software Engineering,2000000,High,No path found,Routed
R1181,Hana Nakashima,"AE, Healthcare",2026-05-03,Sabine Zettergren-Ashdown is the person I need. Pretty sure they're a Chief Operating Officer somewhere in Healthcare.,,Sabine Zettergren-Ashdown,Chief Operating Officer,400000,High,,Closed - no path
R1182,Yusuf Petrossian,SDR Lead,2026-02-12,trying to reach VP Data & Analytics at Sablefield Motors. I know we sell into Cobalt Lane Capital Markets and Kingsmere Retail Group — could either of those relationships get us there?,,,VP Data & Analytics,2000000,Critical,No path found,Open
R1183,Yusuf Petrossian,SDR Lead,2026-04-29,"looking for a path to Leandro Okonkwo-Oldfield — email domain is duncastle.com, that's all I have",,Leandro Okonkwo-Oldfield,SVP Digital,750000,High,Unknown,Open
R1184,Bertrand Vandermolen,"AE, EMEA",2026-07-26,long shot — Cindermill Mining. Bo Zettergren-Wexford (Chief Digital Officer). Anyone?,Cindermill Mining,,Chief Digital Officer,750000,Critical,,Open
R1185,Yusuf Petrossian,SDR Lead,2026-02-04,"need help getting to Gravenhurst Motors. Rosalind Zubkov-Isenberg is the VP Enterprise Architecture there, cold outbound is going nowhere",Gravenhurst Motors,,VP Enterprise Architecture,1200000,High,Path found,Stalled
R1186,Hana Nakashima,"AE, Healthcare",2025-12-27,trying to reach VP Engineering at Apex Logistics Group. I know we sell into Priorwood Chemicals and Tessellate Payments — could either of those relationships get us there?,,,VP Engineering,1200000,Low,,Open
R1187,Bertrand Vandermolen,"AE, EMEA",2025-10-29,who do we know at Ashgrove Agriculture? Chief Digital Officer would be ideal but I'll take anyone senior,Ashgrove Agriculture,Rafael Nakashima-Zettergren,Chief Digital Officer,400000,Critical,No path found,Open
R1188,Bertrand Vandermolen,"AE, EMEA",2026-02-02,who do we know at Northwind Freight? VP Engineering would be ideal but I'll take anyone senior,Northwind Freight,,VP Engineering,80000,Low,Unknown,Stalled
R1189,Nadia Okonkwo,"AE, Industrials",2026-02-27,asking again: Marrow Point Airways. Chief Information Officer. Happy to draft the forward myself if someone can vouch.,Marrow Point Airways,,Chief Information Officer,750000,Medium,Unknown,Open
R1190,Yusuf Petrossian,SDR Lead,2026-07-02,asking again: Brightmoor Energy. VP Enterprise Architecture. Happy to draft the forward myself if someone can vouch.,Brightmoor Energy,,VP Enterprise Architecture,1200000,Critical,,Routed
R1191,Yusuf Petrossian,SDR Lead,2025-12-15,asking again: Volney Industrial Systems. Chief Digital Officer. Happy to draft the forward myself if someone can vouch.,Volney Industrial Systems,,Chief Digital Officer,2000000,High,,Stalled
R1192,Imani Mkhize,"Enterprise AE, West",2025-08-18,trying to reach Chief Operating Officer at Priorwood Chemicals — anyone have a path?,Priorwood Chemicals,,Chief Operating Officer,2000000,High,Unknown,Intro sent
R1193,Rafael Salcedo,"AE, Transport & Logistics",2026-06-05,trying to reach Chief Operating Officer at Kingsmere Retail Group — anyone have a path?,Kingsmere Retail Group,,Chief Operating Officer,250000,Low,Path found,Stalled
R1194,Imani Mkhize,"Enterprise AE, West",2026-06-28,asking again: Marrow Point Airways. VP Data & Analytics. Happy to draft the forward myself if someone can vouch.,Marrow Point Airways,,VP Data & Analytics,750000,High,Unknown,Open
R1195,Nadia Okonkwo,"AE, Industrials",2026-04-27,trying to reach SVP Digital at Wrenfield Robotics. I know we sell into Copperline Water and Harrowgate Health — could either of those relationships get us there?,,,SVP Digital,1200000,Low,Path found,Open
R1196,Bertrand Vandermolen,"AE, EMEA",2026-02-03,asking again: Priorwood Chemicals. Chief Technology Officer. Happy to draft the forward myself if someone can vouch.,Priorwood Chemicals,,Chief Technology Officer,1200000,Medium,Unknown,Stalled
R1197,Imani Mkhize,"Enterprise AE, West",2025-08-08,need an intro at Apex Logistics — anyone?,Apex Logistics,,Head of Developer Productivity,250000,Low,Unknown,Intro sent
R1198,Sloane Fairweather,Strategic AE,2025-10-07,who do we know at Quillon Pharma? Chief Operating Officer would be ideal but I'll take anyone senior,Quillon Pharma,,Chief Operating Officer,750000,Critical,Unknown,Closed - no path
R1199,Curtis Hartigan,"AE, Financial Services",2025-12-09,any connections into Vireo Systems? we're up against a renewal window and I need an intro to Chief Digital Officer,Vireo Systems,,Chief Digital Officer,750000,High,Path found,Open
R1200,Hana Nakashima,"AE, Healthcare",2026-02-15,"Pelham Beverage is the target. Our champion at Northwind Freight used to work with their team, and I think Apex Logistics is a supplier of theirs. Any path?",,,Director of Software Engineering,750000,Medium,,Open
